akt;hiddenlayer;dropout;eta;regul;regulrate;batchsize;MSE;R2;TrainSteps;Time_s
relu;(50, 50, 50);0;0.01;l2;0.001;32;0.016691957;0.175525655;50;144.56
relu;(100, 50, 25);0.2;0.001;none;0.0001;32;0.018129416;0.104524497;50;45.51
relu;(50, 50, 50);0;0.001;none;0.001;32;0.018347645;0.093745417;50;481.64
relu;(100, 50, 25);0.2;0.01;l2;0.0001;32;0.019141775;0.054520507;50;69.46
relu;(50, 50, 50);0.2;0.01;l2;0.001;32;0.01930989;0.046216709;50;963.67
relu;(100, 50, 25);0;0.001;l2;0.001;32;0.019343071;0.044577793;50;167.42
relu;(50, 50, 50);0.2;0.001;l2;0.001;32;0.019390575;0.042231428;50;196.16
relu;(50, 50, 50);0.2;0.01;none;0.0001;32;0.019586599;0.032549089;50;85.62
relu;(100, 50, 25);0.2;0.01;none;0.0001;32;0.019631542;0.030329226;50;92.39
relu;(100, 50, 25);0;0.01;none;0.0001;32;0.019654777;0.029181551;50;182.71
relu;(50, 50, 50);0;0.01;none;0.001;32;0.019661326;0.028858074;50;190.1
relu;(100, 50, 25);0;0.01;l2;0.0001;32;0.019689022;0.027490083;50;166.04
relu;(100, 50, 25);0;0.001;none;0.0001;32;0.019825408;0.020753511;50;172.26
relu;(100, 50, 25);0.2;0.001;l2;0.0001;32;0.019833117;0.020372717;50;81.85
relu;(100, 50, 25);0.2;0.001;l2;0.001;32;0.019849393;0.019568779;50;146.61
relu;(100, 50, 25);0.2;0.01;l2;0.001;32;0.01991286;0.016433934;50;147.72
relu;(100, 50, 25);0;0.01;none;0.001;32;0.019922031;0.015980939;50;173.14
relu;(50, 50, 50);0;0.001;l2;0.0001;32;0.019948152;0.014690723;50;193.95
relu;(50, 50, 50);0.2;0.001;l2;0.0001;32;0.020006973;0.011785343;50;95.51
relu;(100, 50, 25);0;0.001;l2;0.0001;32;0.020037946;0.010255492;50;166.96
relu;(50, 50, 50);0.2;0.01;none;0.001;32;0.020160526;0.004200841;50;96.09
relu;(50, 50, 50);0;0.01;none;0.0001;32;0.020196435;0.002427168;50;221.3
sigmoid;(50, 50, 50);0;0.01;l2;0.0001;32;0.020200018;0.002250186;50;699.48
relu;(50, 50, 50);0.2;0.01;l2;0.0001;32;0.020200519;0.002225428;50;73.88
sigmoid;(50, 50, 50);0.2;0.001;none;0.001;32;0.020212571;0.00163014;50;192.66
sigmoid;(50, 50, 50);0;0.001;l2;0.001;32;0.020218037;0.001360147;50;501.71
sigmoid;(50, 50, 50);0;0.001;l2;0.0001;32;0.020218038;0.001360115;50;2764.14
relu;(100, 50, 25);0.2;0.001;none;0.001;32;0.020221811;0.001173735;50;66.86
sigmoid;(100, 50, 25);0;0.01;none;0.001;32;0.020222564;0.001136563;50;906.44
sigmoid;(50, 50, 50);0.2;0.01;l2;0.0001;32;0.020239993;0.000275683;50;633.03
sigmoid;(50, 50, 50);0.2;0.001;l2;0.0001;32;0.020246286;-3.52E-05;50;191.27
sigmoid;(50, 50, 50);0;0.01;none;0.001;32;0.020249548;-0.000196264;50;1092.26
sigmoid;(50, 50, 50);0;0.01;l2;0.001;32;0.020251582;-0.000296736;50;743.9
sigmoid;(100, 50, 25);0;0.001;none;0.0001;32;0.020261357;-0.000779564;50;772.5
sigmoid;(50, 50, 50);0.2;0.01;none;0.0001;32;0.02026593;-0.001005438;50;192.91
sigmoid;(100, 50, 25);0.2;0.01;none;0.0001;32;0.020270025;-0.0012077;50;263.39
sigmoid;(50, 50, 50);0.2;0.01;none;0.001;32;0.02027285;-0.001347262;50;416.87
sigmoid;(100, 50, 25);0.2;0.001;l2;0.001;32;0.020285113;-0.001952956;50;446.4
sigmoid;(50, 50, 50);0;0.001;none;0.0001;32;0.02029306;-0.0023455;50;8184.88
sigmoid;(50, 50, 50);0;0.001;none;0.001;32;0.020293783;-0.002381218;50;4699.95
sigmoid;(100, 50, 25);0;0.01;l2;0.0001;32;0.020294074;-0.002395588;50;932.29
sigmoid;(50, 50, 50);0.2;0.001;none;0.0001;32;0.020294154;-0.002399534;50;183.05
sigmoid;(100, 50, 25);0;0.01;none;0.0001;32;0.020297591;-0.002569271;50;1034.16
sigmoid;(50, 50, 50);0;0.01;none;0.0001;32;0.02029823;-0.00260084;50;590.89
sigmoid;(100, 50, 25);0;0.001;l2;0.001;32;0.020300739;-0.002724766;50;925.11
sigmoid;(100, 50, 25);0;0.001;l2;0.0001;32;0.020304269;-0.002899131;50;882.04
sigmoid;(100, 50, 25);0.2;0.01;l2;0.001;32;0.02030691;-0.003029593;50;334.31
sigmoid;(100, 50, 25);0;0.01;l2;0.001;32;0.020321908;-0.003770408;50;903.78
sigmoid;(100, 50, 25);0.2;0.001;none;0.001;32;0.020422399;-0.008733968;50;283.02
relu;(100, 50, 25);0;0.01;l2;0.001;32;0.020430423;-0.009130338;50;176.35
sigmoid;(100, 50, 25);0;0.001;none;0.001;32;0.020453163;-0.010253536;50;772.18
sigmoid;(50, 50, 50);0.2;0.001;l2;0.001;32;0.020495743;-0.012356689;50;178.38
relu;(100, 50, 25);0;0.001;none;0.001;32;0.020540595;-0.014572086;50;174.25
relu;(50, 50, 50);0;0.001;none;0.0001;32;0.020543098;-0.014695764;50;237.5
sigmoid;(100, 50, 25);0.2;0.001;l2;0.0001;32;0.020557166;-0.015390612;50;268.62
sigmoid;(100, 50, 25);0.2;0.01;l2;0.0001;32;0.020566667;-0.015859892;50;272.77
sigmoid;(100, 50, 25);0.2;0.01;none;0.001;32;0.020591073;-0.017065416;50;282.63
relu;(50, 50, 50);0;0.01;l2;0.0001;32;0.020655738;-0.020259408;50;222.53
sigmoid;(50, 50, 50);0.2;0.01;l2;0.001;32;0.020681078;-0.021511042;50;646.23
relu;(100, 50, 25);0.2;0.01;none;0.001;32;0.020684183;-0.021664433;50;71.03
relu;(50, 50, 50);0.2;0.001;none;0.0001;32;0.020816264;-0.028188369;50;93.19
relu;(50, 50, 50);0.2;0.001;none;0.001;32;0.022816521;-0.126988074;50;94.3
relu;(50, 50, 50);0;0.001;l2;0.001;32;0.025909275;-0.279750073;50;236.55
sigmoid;(100, 50, 25);0.2;0.001;none;0.0001;32;0.026196191;-0.293921838;50;283.3
